participant id,gender,age,min age,max age
153,M,48.0,46.0,50.0
154,M,33.0,31.0,35.0
155,M,28.0,26.0,30.0
156,F,43.0,41.0,45.0
157,M,49.0,49.0,49.0
158,M,33.0,31.0,35.0
159,M,30.0,28.0,32.0
160,M,36.0,34.0,38.0
161,F,28.0,26.0,30.0
162,F,38.0,38.0,38.0
163,M,43.0,41.0,45.0
164,M,53.0,51.0,55.0
165,MF,33.5,32.0,35.0
166,M,43.0,41.0,45.0
167,F,63.0,61.0,65.0
168,M,46.0,44.0,48.0
169,M,30.0,28.0,32.0
170,M,33.5,34.0,33.0
171,M,55.5,54.0,57.0
172,M,38.5,39.0,38.0
173,M,43.0,41.0,45.0
174,F,48.0,46.0,50.0
175,M,28.0,26.0,30.0
176,M,40.5,41.0,40.0
177,F,28.0,26.0,30.0
178,M,33.0,31.0,35.0
179,F,,14.0,
180,M,33.0,31.0,35.0
181,M,49.0,48.0,50.0
182,F,53.0,51.0,55.0
183,M,68.0,66.0,70.0
184,M,28.0,26.0,30.0
185,F,44.5,44.0,45.0
186,M,39.0,39.0,39.0
187,M,50.0,48.0,52.0
188,M,22.0,19.0,25.0
189,M,59.5,59.0,60.0
190,F,34.0,33.0,35.0
191,M,43.0,41.0,45.0
192,M,43.5,42.0,45.0
193,M,41.0,41.0,41.0
194,M,31.0,29.0,33.0
195,M,22.0,19.0,25.0
196,M,43.0,41.0,45.0
197,M,39.5,39.0,40.0
198,F,43.0,43.0,43.0
199,F,50.0,48.0,52.0
200,M,43.0,41.0,45.0
201,M,48.0,46.0,50.0
202,M,55.0,55.0,55.0
203,M,30.5,31.0,30.0
204,M,43.0,41.0,45.0
205,M,45.0,45.0,45.0
206,F,55.0,53.0,57.0
207,M,47.0,47.0,47.0
208,M,38.5,37.0,40.0
209,F,43.0,41.0,45.0
210,F,40.0,38.0,42.0
211,F,22.0,19.0,25.0
212,M,45.5,44.0,47.0
213,M,33.0,31.0,35.0
214,F,27.5,28.0,27.0
